date,broker,buy_volume,sell_volume,buy_vwap,sell_vwap,start_balance,end_balance,efficiency_score,short_interest,profile
2024-08-08,RBC Capital Markets,28293,31998,0.24,0.2081,3855169,3804936,0.7,2579,Institutional
2024-08-08,CIBC World Markets,17178,15805,0.2429,0.1649,9540806,9478409,0.83,19061,Retail
2024-08-08,TD Securities,2420,32693,0.1514,0.153,4081327,4123052,0.95,17800,Institutional
2024-08-08,BMO Nesbitt Burns,19658,43176,0.1693,0.1627,6830866,6756975,0.98,17414,Institutional
2024-08-08,Scotia Capital,18226,23918,0.2362,0.2093,8784400,8882072,0.84,16421,Institutional
2024-08-08,National Bank Financial,7361,12955,0.2007,0.2312,9926001,9979779,0.87,2735,Institutional
2024-08-08,Canaccord Genuity,33049,49086,0.2212,0.2173,8629859,8583546,0.88,10862,Institutional
2024-08-08,Raymond James,39735,14822,0.2329,0.1923,9272676,9196871,0.87,2418,Retail + Institutional
2024-08-08,Desjardins Securities,12498,7799,0.1973,0.2264,6832279,6875564,0.82,9591,Retail
2024-08-08,Laurentian Bank,9162,21430,0.1938,0.1898,4453026,4359211,0.88,15927,HNW
2024-08-08,HSBC Securities,28023,2185,0.2291,0.2392,4723413,4700350,0.78,2035,Retail
2024-08-08,GMP Securities,5345,19045,0.181,0.2023,9905436,9857284,0.83,19728,Retail + Institutional
2024-08-08,Credential Securities,29952,41420,0.1506,0.1753,7226115,7287818,0.75,19897,Institutional
2024-08-08,PI Financial,39366,2003,0.2117,0.2183,9513471,9573721,0.73,14175,Retail
2024-08-08,Industrial Alliance,15698,11444,0.2289,0.2203,2735827,2805607,1.0,14525,Retail
2024-08-08,Edward Jones,29147,29226,0.2239,0.1936,7760229,7821170,0.7,16989,Institutional
2024-08-08,UBS Securities,2382,4496,0.2086,0.189,5151306,5127723,0.95,10532,Retail + Institutional
2024-08-08,Goldman Sachs Canada,42197,30598,0.2228,0.2259,7686280,7710475,0.85,6871,Institutional
2024-08-08,JP Morgan Canada,7849,3921,0.2094,0.1856,8567181,8525775,0.78,6038,Retail + Institutional
2024-08-08,Morgan Stanley Canada,34908,44341,0.1507,0.1682,4284399,4336601,0.72,3481,Institutional
2024-08-08,Merrill Lynch Canada,12361,14822,0.1632,0.247,2613382,2535192,0.7,18300,Retail
2024-08-08,Interactive Brokers Canada,44465,25933,0.2108,0.1812,5183604,5095674,0.72,16865,HNW
2024-08-09,RBC Capital Markets,24056,18147,0.1604,0.19,1408130,1400315,0.81,4380,Retail + Institutional
2024-08-09,CIBC World Markets,4945,13502,0.2398,0.1821,4684285,4779824,0.98,5391,Retail + Institutional
2024-08-09,TD Securities,42102,28914,0.2416,0.176,7472948,7473697,0.74,13717,HNW
2024-08-09,BMO Nesbitt Burns,33940,8825,0.1775,0.2325,1059599,1101875,0.99,11378,Retail
2024-08-09,Scotia Capital,49262,29376,0.2014,0.2488,6599218,6504466,0.91,11897,Institutional
2024-08-09,National Bank Financial,44632,15734,0.1712,0.217,3353797,3293648,0.99,11978,Retail + Institutional
2024-08-09,Canaccord Genuity,46583,30315,0.2449,0.1998,6551465,6634307,0.79,10740,Retail + Institutional
2024-08-09,Raymond James,14769,9588,0.1633,0.2242,6118936,6186990,0.96,12664,Institutional
2024-08-09,Desjardins Securities,49522,36253,0.154,0.2175,4037843,3997017,0.81,9165,Retail + Institutional
2024-08-09,Laurentian Bank,39824,12867,0.1635,0.1783,3453657,3403312,0.93,8741,Retail
2024-08-09,HSBC Securities,5306,22199,0.1853,0.1758,7034987,7072032,0.95,16430,Retail
2024-08-09,GMP Securities,46994,21339,0.1525,0.1809,9572962,9594816,1.0,7986,Institutional
2024-08-09,Credential Securities,14163,39368,0.2132,0.2414,2293288,2361393,0.99,12723,Institutional
2024-08-09,PI Financial,15407,34713,0.2141,0.2226,5406830,5426477,0.99,10981,HNW
2024-08-09,Industrial Alliance,38111,7910,0.1565,0.182,5553995,5458503,0.71,2950,Retail
2024-08-09,Edward Jones,24151,48963,0.1987,0.1587,3718895,3739752,0.98,3495,HNW
2024-08-09,UBS Securities,39417,37472,0.1931,0.2182,7821564,7759658,0.98,15148,Retail + Institutional
2024-08-09,Goldman Sachs Canada,49729,44701,0.2229,0.1514,9531060,9544050,0.7,6968,Institutional
2024-08-09,JP Morgan Canada,37423,30762,0.2105,0.2128,9828769,9892748,0.75,12065,Institutional
2024-08-09,Morgan Stanley Canada,5447,1217,0.1886,0.165,3857982,3828283,0.82,17825,Retail
2024-08-09,Merrill Lynch Canada,7768,36522,0.2349,0.19,7691395,7651026,0.91,14653,Institutional
2024-08-09,Interactive Brokers Canada,20341,39793,0.1567,0.1506,8369322,8310248,0.96,5096,HNW
2024-08-12,RBC Capital Markets,2050,18375,0.1996,0.1731,9101402,9019398,0.98,15901,Retail
2024-08-12,CIBC World Markets,9576,46485,0.2173,0.1504,1933333,1839047,0.84,7283,Retail + Institutional
2024-08-12,TD Securities,47346,28523,0.1606,0.246,8642354,8678731,0.77,6236,Retail + Institutional
2024-08-12,BMO Nesbitt Burns,14845,39766,0.2225,0.1923,9836371,9899322,0.79,12470,Institutional
2024-08-12,Scotia Capital,47078,5416,0.1564,0.2381,5609483,5557335,0.81,1934,Institutional
2024-08-12,National Bank Financial,28841,30699,0.229,0.2422,5140926,5225047,0.76,6628,Retail
2024-08-12,Canaccord Genuity,9049,18791,0.1657,0.2101,4175601,4176137,0.86,14454,Retail + Institutional
2024-08-12,Raymond James,44744,27195,0.2213,0.1563,3063406,2980174,0.78,13581,Institutional
2024-08-12,Desjardins Securities,11430,48165,0.1969,0.2096,4776530,4745767,0.93,13358,Retail + Institutional
2024-08-12,Laurentian Bank,45417,15705,0.1885,0.21,3329223,3403549,0.77,5440,Institutional
2024-08-12,HSBC Securities,21213,4095,0.2055,0.1756,9619699,9630228,0.79,16446,HNW
2024-08-12,GMP Securities,43746,46752,0.1939,0.2011,2649702,2588723,0.93,16562,Retail + Institutional
2024-08-12,Credential Securities,34691,27362,0.2259,0.1627,8326114,8390321,0.83,18570,Retail
2024-08-12,PI Financial,40625,17774,0.1523,0.1602,9033605,9129151,0.93,6980,Retail + Institutional
2024-08-12,Industrial Alliance,9103,43291,0.1751,0.2465,6531735,6524839,0.72,2874,Institutional
2024-08-12,Edward Jones,16045,48041,0.2225,0.2131,5072114,5095149,0.93,13277,Retail
2024-08-12,UBS Securities,5160,38207,0.1713,0.2363,1260231,1169655,0.82,3305,HNW
2024-08-12,Goldman Sachs Canada,49688,33336,0.206,0.1608,6448649,6493130,0.85,7444,HNW
2024-08-12,JP Morgan Canada,41317,41286,0.1557,0.2115,4843445,4847772,0.73,15112,Retail
2024-08-12,Morgan Stanley Canada,18936,40777,0.2307,0.193,7854873,7925143,0.8,19064,Retail + Institutional
2024-08-12,Merrill Lynch Canada,48042,23944,0.233,0.2499,4754714,4719867,0.92,2508,Institutional
2024-08-12,Interactive Brokers Canada,8112,23207,0.1574,0.1683,8620420,8636972,0.96,2243,Institutional
2024-08-13,RBC Capital Markets,12561,27434,0.23,0.2135,4719173,4649979,0.77,17980,Retail
2024-08-13,CIBC World Markets,14217,15030,0.1761,0.2097,1763646,1813748,0.73,6928,Retail
2024-08-13,TD Securities,12785,32566,0.2128,0.2061,2813561,2726710,0.97,13342,Retail
2024-08-13,BMO Nesbitt Burns,35260,22139,0.2239,0.2336,8672797,8638485,0.93,17379,Retail + Institutional
2024-08-13,Scotia Capital,46369,29138,0.2435,0.2,1148694,1087366,0.91,19381,Retail
2024-08-13,National Bank Financial,44829,3451,0.1513,0.1735,2441116,2423666,0.74,5550,Retail
2024-08-13,Canaccord Genuity,49843,8634,0.2366,0.1951,8479961,8477880,0.94,9671,Retail
2024-08-13,Raymond James,47108,10840,0.1785,0.2085,8553743,8563171,0.7,6302,Retail + Institutional
2024-08-13,Desjardins Securities,18152,25289,0.1878,0.1778,1098970,1108257,0.86,9822,Retail
2024-08-13,Laurentian Bank,46688,39094,0.2492,0.2227,1144028,1201414,0.93,19163,Institutional
2024-08-13,HSBC Securities,40167,46899,0.1735,0.1828,7539606,7603803,0.92,1355,Institutional
2024-08-13,GMP Securities,7921,25534,0.2468,0.2077,9536944,9606778,0.83,5541,Institutional
2024-08-13,Credential Securities,34134,16698,0.1901,0.224,1049157,1087369,0.78,5552,Retail + Institutional
2024-08-13,PI Financial,34787,32844,0.2392,0.1645,1343486,1274282,0.91,2458,HNW
2024-08-13,Industrial Alliance,41650,36429,0.1994,0.2071,7660635,7719472,0.88,1891,Retail + Institutional
2024-08-13,Edward Jones,45018,9859,0.2305,0.2009,6462283,6536449,1.0,19109,HNW
2024-08-13,UBS Securities,43586,9344,0.2242,0.1839,6458270,6506394,0.9,15485,Retail + Institutional
2024-08-13,Goldman Sachs Canada,30748,19888,0.1831,0.1749,4019371,4063656,0.75,16094,Retail + Institutional
2024-08-13,JP Morgan Canada,19034,9386,0.1672,0.1976,5374922,5386585,0.97,5360,HNW
2024-08-13,Morgan Stanley Canada,47660,13920,0.1919,0.2214,1315317,1257571,0.88,7934,Retail
2024-08-13,Merrill Lynch Canada,21902,40837,0.1661,0.193,4919678,4827511,0.8,19659,Retail + Institutional
2024-08-13,Interactive Brokers Canada,15563,12449,0.2453,0.221,7248333,7288718,0.92,15252,Institutional
2024-08-14,RBC Capital Markets,32021,22994,0.1738,0.1803,2404089,2333442,0.97,8625,Retail + Institutional
2024-08-14,CIBC World Markets,45219,17169,0.1823,0.2436,3823954,3748297,0.89,5558,Institutional
2024-08-14,TD Securities,43968,42627,0.2244,0.2149,2199624,2133254,1.0,6899,Retail + Institutional
2024-08-14,BMO Nesbitt Burns,36863,33266,0.1979,0.228,3792400,3838047,0.84,7451,Institutional
2024-08-14,Scotia Capital,28169,26283,0.1577,0.2273,1374671,1367756,0.98,12383,Retail
2024-08-14,National Bank Financial,12409,8727,0.1778,0.154,2995691,2932787,0.81,11903,Institutional
2024-08-14,Canaccord Genuity,8357,30953,0.2276,0.174,8327682,8303030,0.95,3721,HNW
2024-08-14,Raymond James,38896,20281,0.1508,0.1563,7800206,7749748,0.88,12082,HNW
2024-08-14,Desjardins Securities,21414,13013,0.1579,0.1623,5293810,5349265,0.9,12129,Retail + Institutional
2024-08-14,Laurentian Bank,9331,5142,0.246,0.166,1218635,1185409,0.99,4422,Retail
2024-08-14,HSBC Securities,26707,44204,0.2447,0.1735,8689591,8710919,0.93,17387,HNW
2024-08-14,GMP Securities,8761,19327,0.1662,0.18,4445803,4498038,0.95,10344,Retail
2024-08-14,Credential Securities,28965,29711,0.2431,0.2191,7244286,7267886,0.72,9803,Retail + Institutional
2024-08-14,PI Financial,38488,39483,0.2087,0.2216,9581755,9543924,0.99,10019,Retail + Institutional
2024-08-14,Industrial Alliance,20148,49357,0.218,0.1629,8236716,8229813,0.93,17273,HNW
2024-08-14,Edward Jones,7433,17428,0.1837,0.2254,6277861,6205271,0.7,17510,Retail
2024-08-14,UBS Securities,37859,2144,0.2368,0.2421,7454789,7554065,0.95,11307,HNW
2024-08-14,Goldman Sachs Canada,17167,41792,0.2336,0.2102,3800443,3807576,0.91,4176,Retail
2024-08-14,JP Morgan Canada,7130,11497,0.202,0.2115,8072531,8087351,0.77,4635,Retail
2024-08-14,Morgan Stanley Canada,37374,47256,0.1932,0.1545,8995540,8947975,0.92,1696,Institutional
2024-08-14,Merrill Lynch Canada,5760,12730,0.1734,0.2071,6172143,6125216,0.76,12081,Retail
2024-08-14,Interactive Brokers Canada,16710,46363,0.1541,0.2444,6518310,6610877,0.82,4217,HNW
2024-08-15,RBC Capital Markets,45104,8366,0.2427,0.1874,5953250,5961839,0.93,1708,Retail
2024-08-15,CIBC World Markets,38590,20090,0.2225,0.1885,8660154,8622367,0.78,8791,Institutional
2024-08-15,TD Securities,1767,14357,0.1959,0.1707,2685515,2719975,0.82,8424,Institutional
2024-08-15,BMO Nesbitt Burns,8187,18890,0.2048,0.2221,6983850,6979286,0.94,19450,HNW
2024-08-15,Scotia Capital,7592,27045,0.2006,0.1982,6164293,6205871,0.9,5295,Institutional
2024-08-15,National Bank Financial,31616,38240,0.1568,0.1843,6010669,6073067,0.77,8859,Retail
2024-08-15,Canaccord Genuity,45206,42189,0.2128,0.2231,8424717,8438378,0.83,3485,Retail
2024-08-15,Raymond James,26865,36712,0.2195,0.2194,1752592,1697211,0.87,2818,Institutional
2024-08-15,Desjardins Securities,24771,21968,0.2365,0.2394,4483582,4384989,0.75,3074,Retail + Institutional
2024-08-15,Laurentian Bank,47894,4453,0.2096,0.1849,9708020,9662643,0.76,3223,Retail + Institutional
2024-08-15,HSBC Securities,23564,35869,0.1689,0.1521,3037097,2991360,0.92,10028,Retail
2024-08-15,GMP Securities,8521,46290,0.1722,0.1866,6604653,6658372,0.94,12108,HNW
2024-08-15,Credential Securities,31475,27188,0.224,0.1863,6775608,6823473,0.71,3901,Retail + Institutional
2024-08-15,PI Financial,8612,18850,0.1614,0.1553,5121167,5197606,0.88,11186,Retail
2024-08-15,Industrial Alliance,9718,14676,0.2245,0.1804,6505660,6445792,0.87,7980,HNW
2024-08-15,Edward Jones,43960,23740,0.1893,0.1933,8553602,8605202,0.9,6251,Institutional
2024-08-15,UBS Securities,10134,45275,0.1819,0.1651,8821940,8741900,0.93,3283,Retail + Institutional
2024-08-15,Goldman Sachs Canada,34730,19650,0.1536,0.21,9798924,9869048,0.73,13908,Institutional
2024-08-15,JP Morgan Canada,14374,43384,0.229,0.1926,7215365,7210367,0.85,7891,Retail + Institutional
2024-08-15,Morgan Stanley Canada,34400,34053,0.1527,0.1839,1071232,1036499,0.92,12763,HNW
2024-08-15,Merrill Lynch Canada,16074,1827,0.2129,0.1716,4584607,4617018,0.81,9354,Retail
2024-08-15,Interactive Brokers Canada,20338,36543,0.1959,0.1648,9668837,9729594,0.99,9860,HNW
2024-08-16,RBC Capital Markets,6730,4865,0.1514,0.1775,5671663,5593591,0.94,12391,Retail
2024-08-16,CIBC World Markets,6151,6710,0.1972,0.1722,5401402,5318310,0.95,10514,Institutional
2024-08-16,TD Securities,10025,4919,0.1515,0.2395,1771576,1789465,0.96,9884,Institutional
2024-08-16,BMO Nesbitt Burns,35481,26000,0.1912,0.2186,4004384,4081426,0.96,9558,Retail
2024-08-16,Scotia Capital,46102,27117,0.192,0.1683,6293317,6212279,0.98,6011,Retail
2024-08-16,National Bank Financial,19512,17414,0.1851,0.2245,6701310,6610649,0.89,16473,Retail
2024-08-16,Canaccord Genuity,37063,47565,0.2315,0.2171,7126519,7055541,0.73,12524,Retail
2024-08-16,Raymond James,14887,27634,0.1883,0.2418,2760822,2746743,0.84,12641,Institutional
2024-08-16,Desjardins Securities,11616,20225,0.1526,0.1704,2649583,2573448,0.96,18435,Institutional
2024-08-16,Laurentian Bank,49311,33678,0.2047,0.2248,6411982,6375065,0.93,1811,HNW
2024-08-16,HSBC Securities,36801,34565,0.1802,0.1881,8411174,8465396,0.96,8842,Retail
2024-08-16,GMP Securities,35440,32390,0.2302,0.2357,1234304,1223482,0.95,1969,Retail
2024-08-16,Credential Securities,15422,40432,0.2174,0.165,4094427,4056235,0.82,5338,Retail
2024-08-16,PI Financial,38760,14334,0.2257,0.1861,9999202,10037324,0.85,8045,Retail + Institutional
2024-08-16,Industrial Alliance,3952,41480,0.2367,0.1591,3068361,3090886,0.73,1779,Institutional
2024-08-16,Edward Jones,12501,5027,0.2363,0.1636,1939398,1978626,0.71,2365,Institutional
2024-08-16,UBS Securities,29608,8114,0.2023,0.1526,9114488,9042231,1.0,3180,Retail + Institutional
2024-08-16,Goldman Sachs Canada,45052,16814,0.1944,0.2493,1612988,1514472,0.82,3874,Retail + Institutional
2024-08-16,JP Morgan Canada,42989,5160,0.2431,0.1903,9380478,9345981,0.74,14919,HNW
2024-08-16,Morgan Stanley Canada,20829,40031,0.1652,0.2121,3751639,3781666,0.8,9013,Retail + Institutional
2024-08-16,Merrill Lynch Canada,6707,42744,0.2118,0.248,7609299,7699525,0.85,13521,HNW
2024-08-16,Interactive Brokers Canada,27199,2516,0.1788,0.2172,1553422,1524289,0.95,5760,Institutional
2024-08-19,RBC Capital Markets,35638,18394,0.2494,0.211,7072704,7166967,0.81,7022,Retail
2024-08-19,CIBC World Markets,37151,48534,0.1576,0.1946,3119087,3067506,0.89,9010,Retail
2024-08-19,TD Securities,25804,13174,0.1688,0.1718,3079280,3028478,0.87,15181,HNW
2024-08-19,BMO Nesbitt Burns,15368,34612,0.2344,0.2108,8446399,8502474,0.78,2655,Retail
2024-08-19,Scotia Capital,44993,16782,0.2,0.2263,7236580,7210743,0.88,7053,Retail
2024-08-19,National Bank Financial,5866,49108,0.2219,0.232,1559195,1532567,0.7,4850,Retail
2024-08-19,Canaccord Genuity,32664,48498,0.1631,0.155,5455185,5357882,0.8,9041,HNW
2024-08-19,Raymond James,33104,14399,0.2252,0.151,8341854,8313458,0.94,1793,Institutional
2024-08-19,Desjardins Securities,21922,40022,0.1826,0.1573,5121158,5069318,0.77,9089,Institutional
2024-08-19,Laurentian Bank,6631,23062,0.2234,0.1545,7537164,7538778,0.85,5540,Retail + Institutional
2024-08-19,HSBC Securities,23739,31531,0.2016,0.1748,1009162,997547,0.93,12132,HNW
2024-08-19,GMP Securities,37358,14510,0.1727,0.2481,6769180,6804933,0.9,5237,Retail
2024-08-19,Credential Securities,39016,48455,0.204,0.221,5286912,5317661,0.94,8388,HNW
2024-08-19,PI Financial,38402,14685,0.1505,0.1794,2041361,2061054,0.84,6881,Institutional
2024-08-19,Industrial Alliance,45898,47940,0.2484,0.2032,9382185,9318539,0.93,12375,Retail
2024-08-19,Edward Jones,40530,34073,0.2264,0.2064,3333530,3340030,0.85,14303,Institutional
2024-08-19,UBS Securities,33588,33813,0.2128,0.2158,2178863,2085234,0.81,14788,Retail + Institutional
2024-08-19,Goldman Sachs Canada,7337,27129,0.1928,0.2071,7249038,7189030,0.79,2256,Retail + Institutional
2024-08-19,JP Morgan Canada,23151,1729,0.2274,0.2431,6311363,6298438,0.92,18780,Retail + Institutional
2024-08-19,Morgan Stanley Canada,10052,40830,0.2292,0.2078,2063684,2155424,0.75,5188,Institutional
2024-08-19,Merrill Lynch Canada,19533,26113,0.1591,0.154,1504563,1535791,0.74,15075,Retail + Institutional
2024-08-19,Interactive Brokers Canada,31199,22670,0.2056,0.1555,4318000,4238134,0.73,11612,HNW
2024-08-20,RBC Capital Markets,11846,34651,0.2121,0.2056,4793470,4759875,0.79,1929,Retail
2024-08-20,CIBC World Markets,5624,49466,0.1543,0.2047,4542472,4466612,0.76,15598,Institutional
2024-08-20,TD Securities,34683,16855,0.1899,0.2059,8515748,8522790,0.96,1555,Institutional
2024-08-20,BMO Nesbitt Burns,10797,5165,0.2301,0.2329,5950211,5921120,0.96,7364,HNW
2024-08-20,Scotia Capital,40134,7906,0.1841,0.2351,2283151,2228347,0.72,14872,Institutional
2024-08-20,National Bank Financial,47735,4382,0.177,0.2225,8359218,8283821,0.88,3161,Retail
2024-08-20,Canaccord Genuity,14705,13322,0.234,0.1589,9566625,9584165,0.74,1580,Institutional
2024-08-20,Raymond James,7136,22440,0.1995,0.1856,4936549,4923955,0.71,14280,Retail
2024-08-20,Desjardins Securities,48623,24043,0.1694,0.2438,2852880,2775890,0.93,1503,HNW
2024-08-20,Laurentian Bank,25842,6005,0.2167,0.2126,9607073,9560482,0.96,8917,Retail
2024-08-20,HSBC Securities,25683,29102,0.2486,0.2276,5608306,5646913,0.99,16587,Retail + Institutional
2024-08-20,GMP Securities,30240,49653,0.1959,0.2422,8916691,8849457,0.73,15050,Retail
2024-08-20,Credential Securities,18652,20953,0.1507,0.1921,3521559,3619559,0.93,4844,Institutional
2024-08-20,PI Financial,16545,16469,0.202,0.2151,3858713,3870787,0.91,10602,HNW
2024-08-20,Industrial Alliance,33778,2193,0.2321,0.2298,3004203,2931525,0.82,4104,Retail + Institutional
2024-08-20,Edward Jones,38634,11507,0.1746,0.164,6287320,6328858,0.74,8314,Retail
2024-08-20,UBS Securities,9941,4283,0.2033,0.219,9422898,9368196,0.8,11606,HNW
2024-08-20,Goldman Sachs Canada,3607,15660,0.1652,0.2491,6285838,6269626,0.78,9046,HNW
2024-08-20,JP Morgan Canada,42322,48429,0.1843,0.1853,4755443,4659088,0.93,16653,Retail
2024-08-20,Morgan Stanley Canada,27351,42592,0.1955,0.1911,1008418,1065025,0.99,4420,Retail
2024-08-20,Merrill Lynch Canada,47981,26758,0.2152,0.229,5514494,5451017,0.89,1559,Institutional
2024-08-20,Interactive Brokers Canada,30868,8676,0.1843,0.239,3506814,3535620,0.83,10684,Institutional
2024-08-21,RBC Capital Markets,8258,22745,0.1802,0.2342,2615750,2539015,0.91,10334,HNW
2024-08-21,CIBC World Markets,21058,26403,0.2133,0.2304,5389290,5342084,0.85,18789,Retail
2024-08-21,TD Securities,12731,29461,0.1527,0.2046,8869653,8790937,0.85,1953,Retail + Institutional
2024-08-21,BMO Nesbitt Burns,2249,15817,0.1934,0.1995,4721887,4790015,0.86,16842,Retail
2024-08-21,Scotia Capital,5201,28166,0.2354,0.2303,5973399,5972379,0.89,7210,HNW
2024-08-21,National Bank Financial,35857,12405,0.2099,0.2289,3537157,3634101,0.94,15695,Institutional
2024-08-21,Canaccord Genuity,38633,49164,0.1603,0.2434,3638342,3714536,0.86,17692,HNW
2024-08-21,Raymond James,35207,25924,0.2422,0.1577,2110734,2098451,0.7,8766,Institutional
2024-08-21,Desjardins Securities,13922,38026,0.1782,0.1997,1482825,1561328,0.89,7988,Institutional
2024-08-21,Laurentian Bank,12806,2432,0.1804,0.2174,9736065,9692974,0.95,12977,Retail
2024-08-21,HSBC Securities,49742,24768,0.189,0.225,3705539,3708434,0.97,8455,Institutional
2024-08-21,GMP Securities,2739,11192,0.2054,0.2346,1100231,1195492,0.85,16791,Retail + Institutional
2024-08-21,Credential Securities,17920,26654,0.197,0.2076,4054848,4079785,0.75,7841,Retail
2024-08-21,PI Financial,9985,41078,0.2264,0.2397,1470465,1471887,0.75,13579,Institutional
2024-08-21,Industrial Alliance,7454,27981,0.2335,0.1503,1668510,1591427,0.98,3690,Institutional
2024-08-21,Edward Jones,7145,12271,0.1781,0.2419,8823819,8844745,0.82,10485,Retail
2024-08-21,UBS Securities,31004,2795,0.1895,0.2238,4235421,4267716,0.84,10952,Retail
2024-08-21,Goldman Sachs Canada,45965,9029,0.1918,0.2241,6382322,6449981,0.74,10817,Retail + Institutional
2024-08-21,JP Morgan Canada,42844,35271,0.2387,0.2072,6724381,6712273,0.99,3704,Retail
2024-08-21,Morgan Stanley Canada,16099,43614,0.1523,0.1727,4990275,4943544,0.87,8470,Institutional
2024-08-21,Merrill Lynch Canada,6531,32713,0.1947,0.2382,7866274,7773996,0.92,13444,Retail
2024-08-21,Interactive Brokers Canada,48664,37905,0.2324,0.2244,6103357,6039982,0.98,13885,Institutional
2024-08-22,RBC Capital Markets,9070,29998,0.1729,0.2062,1116499,1216220,0.72,10788,Retail
2024-08-22,CIBC World Markets,1066,38289,0.2453,0.1576,7613359,7636779,0.77,14002,Retail
2024-08-22,TD Securities,16565,21959,0.2206,0.246,2747760,2668236,0.91,6684,Retail
2024-08-22,BMO Nesbitt Burns,27657,17854,0.2346,0.1916,8970837,9014901,0.76,13102,HNW
2024-08-22,Scotia Capital,10289,4965,0.1882,0.2125,2514834,2472933,0.87,17672,HNW
2024-08-22,National Bank Financial,23069,9033,0.2201,0.2111,7210653,7296187,0.94,8940,Retail + Institutional
2024-08-22,Canaccord Genuity,28334,23753,0.1626,0.1848,6884210,6794353,0.87,11638,Retail + Institutional
2024-08-22,Raymond James,19609,30543,0.2242,0.1811,2487281,2435062,0.84,9156,HNW
2024-08-22,Desjardins Securities,47863,15520,0.2177,0.2248,8521547,8536366,0.76,17402,HNW
2024-08-22,Laurentian Bank,25422,37083,0.1998,0.2302,6583428,6663023,0.93,19200,Institutional
2024-08-22,HSBC Securities,43051,10970,0.2066,0.1784,8405765,8428632,0.91,17444,HNW
2024-08-22,GMP Securities,25247,34289,0.1746,0.1626,4635768,4684681,0.96,18313,HNW
2024-08-22,Credential Securities,22557,1605,0.2195,0.1526,3853453,3924465,0.8,11550,Retail
2024-08-22,PI Financial,44243,24183,0.2233,0.2246,6782321,6750739,0.77,4936,Retail + Institutional
2024-08-22,Industrial Alliance,26020,26056,0.1964,0.1766,1887649,1877316,0.73,14183,Institutional
2024-08-22,Edward Jones,33607,19370,0.1939,0.1628,3669479,3691247,0.87,8260,Retail
2024-08-22,UBS Securities,3984,31414,0.2374,0.2224,6527927,6445052,0.96,2957,Retail
2024-08-22,Goldman Sachs Canada,32464,25617,0.1534,0.1739,6158135,6187290,1.0,17314,HNW
2024-08-22,JP Morgan Canada,40993,28600,0.1943,0.2304,7911313,7983696,0.71,3978,HNW
2024-08-22,Morgan Stanley Canada,20829,7498,0.2029,0.2232,4359924,4447127,0.84,9596,Retail + Institutional
2024-08-22,Merrill Lynch Canada,23975,34984,0.2365,0.1862,5155604,5113973,0.71,7447,Retail + Institutional
2024-08-22,Interactive Brokers Canada,15840,47293,0.2161,0.1912,2456642,2431847,0.76,10753,HNW
2024-08-23,RBC Capital Markets,42834,3318,0.1694,0.1917,1476434,1412661,0.87,4245,HNW
2024-08-23,CIBC World Markets,10019,21874,0.225,0.1948,5466279,5504726,0.73,6609,Retail + Institutional
